,time,virusc,bacteriac,grazerc
231,2.3128911138923653,39011121.66352924,470380.6014280556,472.17851347582894
232,2.3229036295369214,39104294.70628514,469731.1295337998,471.51658367982924
233,2.332916145181477,39197009.41431912,469088.723729977,470.8618601239742
234,2.3429286608260327,39289267.405654535,468453.2909979392,470.2142479125082
235,2.3529411764705883,39381070.297360495,467824.739411199,469.57365326337504
236,2.362953692115144,39472419.70632402,467202.9787058787,468.9399840911323
237,2.3729662077596996,39563317.24893754,466587.9200637402,468.31314978533044
238,2.382978723404255,39653764.54128079,465979.4764385401,467.6930615429559
239,2.3929912390488113,39743763.19877759,465377.56211389235,467.07963191792544
240,2.403003754693367,39833314.83597728,464782.0924435644,466.47277455644627
241,2.4130162703379225,39922421.06680586,464192.98427923187,465.87240463276646
242,2.423028785982478,40011083.50439159,463610.15577532776,465.27843865030206
243,2.433041301627034,40099303.76164642,463033.52687825455,464.69079494070485
244,2.4430538172715894,40187083.45005945,462463.0183656966,464.10939268380974
245,2.453066332916145,40274424.180166535,461898.552245111,463.53415231415295
246,2.463078848560701,40361327.56160817,461340.0518183607,462.96499558690385
247,2.4730913642052568,40447795.202979214,460787.44157660863,462.4018454706369
248,2.4831038798498124,40533828.71251582,460240.64770435944,461.8446266615228
249,2.493116395494368,40619429.69641545,459699.59688823094,461.29326436809964
250,2.5031289111389237,40704599.76001259,459164.21717114246,460.7476851826641
251,2.5131414267834793,40789340.507404424,458634.4376961934,460.20781681998636
252,2.523153942428035,40873653.54148658,458110.18875346426,459.67358816511853
253,2.533166458072591,40957540.46416439,457591.40197004034,459.1449294674417
254,2.5431789737171466,41041002.87546319,457078.00960102706,458.62177161676726
255,2.5531914893617023,41124042.37418113,456569.9450801897,458.1040467055968
256,2.563204005006258,41206660.55764538,456067.14283841173,457.5916878437776
257,2.5732165206508135,41288859.02180285,455569.5384182421,457.0846292753412
258,2.583229036295369,41370639.36114099,455077.0684223018,456.5828063258716
259,2.593241551939925,41452003.16827634,454589.6701366513,456.0861550183218
260,2.603254067584481,41532952.03429318,454107.28188786755,455.59461243724144
261,2.6132665832290365,41613487.54857868,453629.84290762857,455.1081165906445
262,2.623279098873592,41693611.29914644,453157.29357737524,454.6266066595131
263,2.6332916145181477,41773324.87204679,452689.5750191702,454.1500225805355
264,2.6433041301627034,41852629.85131318,452226.6290704352,453.6783050203335
265,2.653316645807259,41931527.81925562,451768.3985069673,453.2113956028922
266,2.6633291614518146,42010020.35627773,451314.8269250586,452.7492367893336
267,2.6733416770963707,42088109.04092574,450865.8588144625,452.2917719523535
268,2.6833541927409263,42165795.45014131,450421.43983047275,451.83894565378927
269,2.693366708385482,42243081.15823553,449981.5158167096,451.3907026476852
270,2.7033792240300376,42319967.73769485,449546.03361757804,450.94698870914345
271,2.7133917396745932,42396456.75889925,449114.94082800543,450.5077503790102
272,2.723404255319149,42472549.79007831,448688.1857757005,450.0729349457749
273,2.7334167709637045,42548248.39800995,448265.7179096936,449.6424908419422
274,2.7434292866082606,42623554.14663917,447847.48705085216,449.2163668794345
275,2.753441802252816,42698468.597605586,447433.4436867724,448.7945125504272
276,2.763454317897372,42772993.310426794,447023.539078363,448.3768781360795
277,2.7734668335419275,42847129.84230725,446617.7251615418,447.9634146062469
278,2.783479349186483,42920879.74834537,446215.9546503919,447.5540737247648
279,2.7934918648310387,42994244.58166143,445818.1811022643,447.14880811589603
280,2.8035043804755944,43067225.89217651,445424.35833444155,446.74757066899275
281,2.8135168961201504,43139825.227720745,445034.4409605027,446.35031508590555
282,2.823529411764706,43212044.13366206,444648.3842154481,445.95699570251287
283,2.8335419274092617,43283884.15287017,444266.1439420239,445.56756747476925
284,2.8435544430538173,43355346.82621007,443887.67688124854,445.1819862750422
285,2.853566958698373,43426433.69141719,443512.940033127,444.80020824002975
286,2.8635794743429286,43497146.28377311,443141.8910518875,444.42219017390374
287,2.873591989987484,43567486.135992944,442774.48818825267,444.04788948942206
288,2.8836045056320403,43637454.778147474,442410.690251704,443.67726416943475
289,2.893617021276596,43707053.73777493,442050.4567163899,443.31027287495994
290,2.9036295369211516,43776284.53977843,441693.74765268154,442.9468748753419
291,2.913642052565707,43845148.706072226,441340.52345455426,442.58702977006067
292,2.923654568210263,43913647.75593085,440990.74513841915,442.2306977936753
293,2.9336670838548184,43981783.20583747,440644.3742349074,441.87783970539834
294,2.943679599499374,44049556.5694548,440301.3727813229,441.5284167813938
295,2.95369211514393,44116969.357881054,439961.7036734922,441.1823911736139
296,2.963704630788486,44184023.07893805,439625.32979816204,440.8397250249536
297,2.9737171464330414,44250719.237688005,439292.21471329144,440.50038116305535
298,2.983729662077597,44317059.33625251,438962.3224493346,440.16432289763935
299,2.9937421777221527,44383044.87378133,438635.6174991582,439.8315140102163
300,3.0037546933667083,44448677.34642117,438312.06480795913,439.50191874380056
301,3.0137672090112644,44513958.2486269,437991.63013672,439.1755021737026
302,3.02377972465582,44578889.07041537,437674.27929670183,438.85222942656503
303,3.0337922403003756,44643471.29888638,437359.97857128154,438.532066110716
304,3.0438047559449313,44707706.41828288,437048.6947312758,438.2149783318018
305,3.053817271589487,44771595.909753405,436740.3949674713,437.9009326239531
306,3.0638297872340425,44835141.251325116,436435.0468817296,437.58989594070965
307,3.073842302878598,44898343.9183909,436132.6187390455,437.28183591224104
308,3.0838548185231542,44961205.38290688,435833.07906497887,436.97672043453724
309,3.09386733416771,45023727.11334315,435536.39662544127,436.67451764878297
