,time,virussmall,bacteriasmall,grazersmall,virusmed,bacteriamed,grazermed,viruslarge,bacterialarge,grazerlarge
544,5.446808510638298,402380.7597539004,400139.8228251986,400.14644167437,793228.3540816318,790484.4180207058,0.0,1544739.5143612896,771539.5217219186,0.0
545,5.456821026282854,398769.95028523955,400138.8404666311,400.1454053665007,786187.0758754854,790560.0602631347,0.0,1531316.6022030052,771759.7482476912,0.0
546,5.466833541927409,395191.5507952642,400137.864729904,400.144376130994,779207.7133934952,790635.1077493868,0.0,1518006.9928233367,771978.3314306502,0.0
547,5.476846057571965,391645.270225412,400136.8955734606,400.14335394226333,772289.7320398056,790709.5650483565,0.0,1504809.784374647,772195.2825878349,0.0
548,5.486858573216521,388130.82011841645,400135.9329560105,400.1423387782371,765432.6016881167,790783.4366944073,0.0,1491724.0813094063,772410.6129729438,0.0
549,5.496871088861076,384647.9145919435,400134.9768365296,400.1413306205181,758635.7966199451,790856.7271893217,0.0,1478748.9943524168,772624.3337764413,0.0
550,5.506883604505632,381196.2704258684,400134.02717384393,400.1403294137518,751898.7954938145,790929.4410023129,0.0,1465883.6404526476,772836.4561258447,0.0
551,5.516896120150188,377775.60727978765,400133.0839257352,400.1393349782475,745221.0813168631,791001.582569898,0.0,1453127.1425149841,773046.9910879356,0.0
552,5.526908635794744,374385.6466910122,400132.14705252287,400.13834736034585,738602.1414112311,791073.1562961113,0.0,1440478.6297367027,773255.9496656958,0.0
553,5.536921151439299,371026.11294775613,400131.2165137628,400.13736650968406,732041.4673806779,791144.1665527197,0.0,1427937.23752636,773463.3427988905,0.0
554,5.546933667083855,367696.73280298326,400130.2922692014,400.1363923726069,725538.5550774115,791214.6176794348,0.0,1415502.1074071748,773669.1813647911,0.0
555,5.556946182728411,364397.23544951616,400129.3742787715,400.1354248917988,719092.9045691489,791284.5139841265,0.0,1403172.3869876768,773873.4761783116,0.0
556,5.566958698372966,361127.3524951421,400128.462502587,400.1344640059158,712704.0201063908,791353.8597430337,0.0,1390947.2299323152,774076.2379921497,0.0
557,5.576971214017522,357886.8185121788,400127.5569020038,400.13350975387124,706371.4100899195,791422.6592009758,0.0,1378825.7959320513,774277.4774969295,0.0
558,5.5869837296620775,354675.36967809126,400126.6574371406,400.1325620313536,700094.5870385217,791490.9165715631,0.0,1366807.2506749495,774477.2053213484,0.0
559,5.5969962453066335,351492.7448158737,400125.76406884927,400.13162078452785,693873.0675569267,791558.6360374062,0.0,1354890.7658167556,774675.4320323251,0.0
560,5.607008760951189,348338.6850867563,400124.8767581869,400.1306859582204,687706.3723039733,791625.8217503247,0.0,1343075.5189514994,774872.1681351508,0.0
561,5.617021276595745,345212.9339639774,400123.9954664084,400.1297574953082,681594.0259609898,791692.4778315551,0.0,1331360.6935821003,775067.4240736434,0.0
562,5.627033792240301,342115.23720928107,400123.1201549643,400.12883533660386,675535.5571966206,791758.6083717255,0.0,1319745.4790910194,775261.2102303023,0.0
563,5.637046307884856,339045.343226242,400122.25078648294,400.1279195172507,669530.4986251527,791824.2174304144,0.0,1308229.0707109356,775453.5369264667,0.0
564,5.647058823529412,336003.0023319479,400121.3873229278,400.127009986098,663578.3867998745,791889.3090378555,0.0,1296810.6694954727,775644.414422476,0.0
565,5.657071339173967,332987.9670325321,400120.52972637623,400.12610668217195,657678.7621729334,791953.8871945617,0.0,1285489.482289993,775833.8529178302,0.0
566,5.667083854818523,329999.9921371436,400119.67795937625,400.12520956976965,651831.1690632437,792017.955871433,0.0,1274264.7216342757,776021.8625520174,0.0
567,5.677096370463079,327038.8346456933,400118.8319847128,400.12431861561413,646035.1556261348,792081.5190099552,0.0,1263135.6055910543,776208.4534060613,0.0
568,5.687108886107635,324104.2537266459,400117.991765409,400.12343378907184,640290.2738232117,792144.5805223987,0.0,1252101.3580830758,776393.6354991313,0.0
569,5.697121401752191,321196.0109145097,400117.15726445685,400.12255503584754,634596.0793924412,792207.1442920158,0.0,1241161.2087105426,776577.4187902035,0.0
570,5.707133917396746,318313.86986926635,400116.3284450871,400.1216823045642,628952.1318184535,792269.214173238,0.0,1230314.3927028424,776759.8131784198,0.0
571,5.717146433041302,315457.59607825225,400115.5052711113,400.1208155802901,623357.9943030628,792330.7939918713,0.0,1219560.1508882968,776940.8285032725,0.0
572,5.727158948685857,312626.9572769784,400114.68770637666,400.1199548312722,617813.2337360114,792391.8875452918,0.0,1208897.7296639574,777120.4745447927,0.0
573,5.737171464330413,309821.723276534,400113.8757149527,400.11910002730946,612317.4206659273,792452.4986026395,0.0,1198326.3809654405,777298.7610237389,0.0
574,5.747183979974968,307041.66594258713,400113.0692611311,400.11825113982525,606870.1292715081,792512.6309050114,0.0,1187845.3622368309,777475.6976017877,0.0
